abbreviation	name	weight	Z	a1	a2	a3	a4	b1	b2	b3	b4	c
H	Hydrogen	1.00794	1	0.493	0.323	0.14	0.041	10.511	26.126	3.142	57.8	0.003
He	Helium	4.0026	2	0.873	0.631	0.311	0.178	9.104	3.357	22.928	0.982	0.006
Li	Lithium	6.941	3	1.128	0.751	0.618	0.465	3.955	1.052	85.391	168.261	0.038
Be	Beryllium	9.01218	4	1.592	1.128	0.539	0.703	43.643	1.862	103.483	0.542	0.038
B	Boron	10.81	5	2.055	1.333	1.098	0.707	23.219	1.021	60.35	0.14	-0.193
C	Carbon	12.011	6	2.31	1.02	1.589	0.865	20.844	10.208	0.569	51.651	0.216
N	Nitrogen	14.0067	7	12.213	3.132	2.013	1.166	0.006	9.893	28.997	0.583	-11.529
O	Oxygen	15.9994	8	3.049	2.287	1.546	0.867	13.277	5.701	0.324	32.909	0.251
F	Fluorine	18.998403	9	3.539	2.641	1.517	1.024	10.283	4.294	0.262	26.148	0.278
Ne	Neon	20.179	10	3.955	3.112	1.455	1.125	8.404	3.426	0.231	21.718	0.352
Na	Sodium	22.98977	11	4.763	3.174	1.267	1.113	3.285	8.842	0.314	129.424	0.676
Mg	Magnesium	24.305	12	5.42	2.174	1.227	2.307	2.828	79.261	0.381	7.194	0.858
Al	Aluminium	26.98154	13	6.42	1.9	1.594	1.965	3.039	0.743	31.547	85.08	1.115
Si	Silicon	28.0855	14	6.292	3.035	1.989	1.541	2.439	32.334	0.678	81.694	1.141
P	Phosphorus	30.97376	15	6.435	4.179	1.78	1.491	1.907	27.157	0.526	68.164	1.115
S	Sulfur	32.06	16	6.905	5.203	1.438	1.586	1.468	22.215	0.254	56.172	0.867
Cl	Chlorine	35.453	17	11.46	7.196	6.256	1.645	0.01	1.166	18.519	47.778	-9.557
K	Potassium	39.0983	18	8.219	7.44	1.052	0.866	12.795	0.775	213.187	41.684	1.423
Ar	Argon	39.948	19	7.484	6.772	0.654	1.644	0.907	14.841	43.898	33.393	1.444
Ca	Calcium	40.08	20	8.627	7.387	1.59	1.021	10.442	0.66	85.748	178.437	1.375
Sc	Scandium	44.9559	21	9.189	7.368	1.641	1.468	9.021	0.573	136.108	51.353	1.333
Ti	Titanium	47.88	22	9.759	7.356	1.699	1.902	7.851	0.5	35.634	116.105	1.281
V	Vanadium	50.9415	23	10.297	7.351	2.07	2.057	6.866	0.438	26.894	102.478	1.22
Cr	Chromium	51.996	24	10.641	7.354	3.324	1.492	6.104	0.392	20.263	98.74	1.183
Mn	Manganese	54.938	25	11.282	7.357	3.019	2.244	5.341	0.343	17.867	83.754	1.09
Fe	Iron	55.847	26	11.769	7.357	3.522	2.305	4.761	0.307	15.354	76.881	1.037
Ni	Nickel	58.69	27	12.838	7.292	4.444	2.38	3.878	0.257	12.176	66.342	1.034
Co	Cobalt	58.9332	28	12.284	7.341	4.003	2.349	4.279	0.278	13.536	71.169	1.012
Cu	Copper	63.546	29	13.338	7.168	5.616	1.673	3.583	0.247	11.397	64.813	1.191
Zn	Zinc	65.38	30	14.074	7.032	5.165	2.41	3.266	0.233	10.316	58.71	1.304
Ga	Gallium	69.72	31	15.235	6.701	4.359	2.962	3.067	0.241	10.781	61.414	1.719
Ge	Germanium	72.59	32	16.082	6.375	3.707	3.683	2.851	0.252	11.447	54.763	2.131
As	Arsenic	74.9216	33	16.672	6.07	3.431	4.278	2.635	0.265	12.948	47.797	2.531
Se	Selenium	78.96	34	17.001	5.82	3.973	4.354	2.41	0.273	15.237	43.816	2.841
Br	Bromine	79.904	35	17.179	5.236	5.638	3.985	2.172	16.58	0.261	41.433	2.956
Kr	Krypton	83.8	36	17.355	6.729	5.549	3.537	1.938	16.562	0.226	39.397	2.825
Rb	Rubidium	85.4678	37	17.178	9.644	5.14	1.529	1.789	17.315	0.275	164.934	3.487
Sr	Strontium	87.62	38	17.566	9.818	5.422	2.669	1.556	14.099	0.166	132.376	2.506
Y	Yttrium	88.9059	39	17.776	10.295	5.726	3.266	1.403	12.801	0.126	104.354	1.912
Zr	Zirconium	91.22	40	17.876	10.948	5.417	3.657	1.276	11.916	0.118	87.663	2.069
Nb	Niobium	92.9064	41	17.614	12.014	4.042	3.533	1.189	11.766	0.205	69.796	3.756
Mo	Molybdenum	95.94	42	3.703	17.236	12.888	3.743	0.277	1.096	11.004	61.658	4.387
Tc	Technetium	98	43	19.13	11.095	4.649	2.713	0.864	8.145	21.571	86.847	5.404
Ru	Ruthenium	101.07	44	19.267	12.918	4.863	1.568	0.809	8.435	24.8	94.293	5.379
Rh	Rhodium	102.9055	45	19.296	14.35	4.734	1.289	0.752	8.218	25.875	98.606	5.328
Pd	Palladium	106.42	46	19.332	15.502	5.295	0.606	0.699	7.989	25.205	76.899	5.266
Ag	Silver	107.8682	47	b								
Cd	Cadmium	112.41	48	c		-	-	-				
In	Indium	114.82	49									
Sn	Tin	118.69	50									
Sb	Antimony	121.75	51									
I	Iodine	126.9045	52									
Te	Tellurium	127.6	53									
Xe	Xenon	131.29	54									
Cs	Caesium	132.9054	55									
Ba	Barium	137.33	56									
La	Lanthanum	138.9055	57									
Ce	Cerium	140.12	58									
Pr	Praseodymium	140.9077	59									
Nd	Neodymium	144.24	60									
Pm	Promethium	145	61									
Sm	Samarium	150.36	62									
Eu	Europium	151.96	63									
Gd	Gadolinium	157.25	64									
Tb	Terbium	158.9254	65									
Dy	Dysprosium	162.5	66									
Ho	Holmium	164.9304	67									
Er	Erbium	167.26	68									
Tm	Thulium	168.9342	69									
Yb	Ytterbium	173.04	70									
Lu	Lutetium	174.967	71									
Hf	Hafnium	178.49	72									
Ta	Tantalum	180.9479	73									
W	Tungsten	183.85	74									
Re	Rhenium	186.207	75									
Os	Osmium	190.2	76									
Ir	Iridium	192.22	77									
Pt	Platinum	195.08	78									
Au	Gold	196.9665	79									
Hg	Mercury	200.59	80									
Tl	Thallium	204.383	81									
Pb	Lead	207.2	82									
Bi	Bismuth	208.9804	83									
Po	Polonium	209	84									
At	Astatine	210	85									
Rn	Radon	222	86									
Fr	Francium	223	87									
Ra	Radium	226.0254	88									
Ac	Actinium	227.0278	89									
Pa	Protactinium	231.0359	90									
Th	Thorium	232.0381	91									
Np	Neptunium	237.0482	92									
U	Uranium	238.0289	93									
Am	Americium	243	94									
Pu	Plutonium	244	95									
Bk	Berkelium	247	96									
Cm	Curium	247	97									
Cf	Californium	251	98									
Es	Einsteinium	252	99									
Fm	Fermium	257	100									
Md	Mendelevium	258	101									
No	Nobelium	259	102									
Lr	Lawrencium	260	103									
